host	GC%	type
GCF_000786425.1_Vibrio_anguillarum_NB10_serovar_O1_genomic.fna	44.36898054	SiTVs
GCF_000730345.1_ASM73034v1_genomic.fna	50.38683538	SiTVs
GCF_000770535.1_ASM77053v1_genomic.fna	68.04431964	SiTVs
GCF_000807425.2_ASM80742v4_genomic.fna	55.41372931	SiTVs
GCF_000829415.1_ASM82941v1_genomic.fna	60.7361411	SiTVs
GCF_000770455.1_ASM77045v1_genomic.fna	68.04501513	SiTVs
GCF_000750555.1_ASM75055v1_genomic.fna	50.77870542	SiTVs
GCF_000750555.1_ASM75055v1_genomic.fna	50.77870542	SiTVs
GCF_000698265.1_ASM69826v1_genomic.fna	60.32492168	SiTVs
GCF_000800765.1_ASM80076v1_genomic.fna	50.80473209	SiTVs
GCF_000750225.1_ASM75022v1_genomic.fna	54.57210552	SiTVs
GCF_000757015.2_ASM75701v2_genomic.fna	68.17036298	SiTVs
GCF_000757015.2_ASM75701v2_genomic.fna	68.17036298	SiTVs
GCF_000770565.1_ASM77056v1_genomic.fna	67.51871159	SiTVs
GCF_000770565.1_ASM77056v1_genomic.fna	67.51871159	SiTVs
GCF_000770565.1_ASM77056v1_genomic.fna	67.51871159	SiTVs
GCF_000671295.1_ASM67129v1_genomic.fna	50.66232455	SiTVs
GCF_000671295.1_ASM67129v1_genomic.fna	50.66232455	SiTVs
GCF_000750905.1_PSE305_genomic.fna	66.0719188	SiTVs
GCF_000750905.1_PSE305_genomic.fna	66.0719188	SiTVs
GCF_000813165.1_ASM81316v1_genomic.fna	50.61100808	SiTVs
GCF_000829215.1_ASM82921v1_genomic.fna	47.48957068	SiTVs
GCF_000807405.2_ASM80740v4_genomic.fna	55.03925025	SiTVs
GCF_000807405.2_ASM80740v4_genomic.fna	55.03925025	SiTVs
GCF_000756085.1_ASM75608v1_genomic.fna	68.13769423	SiTVs
GCF_000764595.1_ASM76459v1_genomic.fna	67.66206692	SiTVs
GCF_000764595.1_ASM76459v1_genomic.fna	67.66206692	SiTVs
GCF_000764595.1_ASM76459v1_genomic.fna	67.66206692	SiTVs
GCF_000750315.1_ASM75031v1_genomic.fna	47.5998577	SiTVs
GCF_000784925.1_ASM78492v1_genomic.fna	50.40614126	SiTVs
GCF_000732965.1_ASM73296v1_genomic.fna	50.43161514	SiTVs
GCF_000814845.2_ASM81484v2_genomic.fna	62.77485431	SiTVs
GCF_000764575.1_ASM76457v1_genomic.fna	68.11941228	SiTVs
GCF_000756165.1_ASM75616v1_genomic.fna	68.00762669	SiTVs
GCF_000698715.2_ASM69871v2_genomic.fna	52.2505974	SiTVs
GCF_000829985.1_ASM82998v1_genomic.fna	50.61226374	SiTVs
GCF_000829985.1_ASM82998v1_genomic.fna	50.61226374	SiTVs
GCF_000829985.1_ASM82998v1_genomic.fna	50.61226374	SiTVs
GCF_000724525.1_ASM72452v1_genomic.fna	55.87923951	SiTVs
GCF_000698295.1_ASM69829v1_genomic.fna	60.00143194	SiTVs
GCF_000742815.1_ASM74281v1_genomic.fna	52.18212449	SiTVs
GCF_000783955.2_ASM78395v2_genomic.fna	51.10226784	SiTVs
GCF_000783955.2_ASM78395v2_genomic.fna	51.10226784	SiTVs
GCF_000750355.1_ASM75035v1_genomic.fna	47.41868278	SiTVs
GCF_000770495.1_ASM77049v1_genomic.fna	68.01635026	SiTVs
GCF_000770495.1_ASM77049v1_genomic.fna	68.01635026	SiTVs
GCF_000808035.2_ASM80803v2_genomic.fna	67.67859255	SiTVs
GCF_000808035.2_ASM80803v2_genomic.fna	67.67859255	SiTVs
GCF_000698515.2_ASM69851v2_genomic.fna	52.21068039	SiTVs
GCF_000698515.2_ASM69851v2_genomic.fna	52.21068039	SiTVs
GCF_000755985.1_ASM75598v1_genomic.fna	66.93006373	SiTVs
GCF_000755985.1_ASM75598v1_genomic.fna	66.93006373	SiTVs
GCF_000833145.1_ASM83314v1_genomic.fna	50.80088461	SiTVs
GCF_000833145.1_ASM83314v1_genomic.fna	50.80088461	SiTVs
GCF_000833145.1_ASM83314v1_genomic.fna	50.80088461	SiTVs
GCF_000757035.2_ASM75703v2_genomic.fna	68.02248039	SiTVs
GCF_000807415.2_ASM80741v4_genomic.fna	55.67911515	SiTVs
GCF_000765435.1_ASM76543v1_genomic.fna	50.53103823	SiTVs
GCF_000814145.2_ASM81414v2_genomic.fna	50.92896254	SiTVs
GCF_000828775.1_ASM82877v1_genomic.fna	59.74241944	SiTVs
GCF_000828775.1_ASM82877v1_genomic.fna	59.74241944	SiTVs
GCF_000828775.1_ASM82877v1_genomic.fna	59.74241944	SiTVs
GCF_000765375.1_ASM76537v1_genomic.fna	67.69352708	SiTVs
GCF_000765375.1_ASM76537v1_genomic.fna	67.69352708	SiTVs
GCF_000743255.1_ASM74325v1_genomic.fna	50.42513345	SiTVs
GCF_000756005.1_ASM75600v1_genomic.fna	66.59708286	SiTVs
GCF_000801205.1_ASM80120v1_genomic.fna	50.7906154	SiTVs
GCF_000801205.1_ASM80120v1_genomic.fna	50.7906154	SiTVs
GCF_000830035.1_ASM83003v1_genomic.fna	50.83467709	SiTVs
GCF_000830035.1_ASM83003v1_genomic.fna	50.83467709	SiTVs
GCF_000756065.1_ASM75606v1_genomic.fna	68.03102687	SiTVs
GCF_000819645.1_ASM81964v1_genomic.fna	50.7760369	SiTVs
GCF_000800215.1_ASM80021v1_genomic.fna	50.80461091	SiTVs
GCF_000734975.2_ASM73497v2_genomic.fna	54.24308678	SiTVs
GCF_000756775.1_PRJEB6478_assembly_1_genomic.fna	61.2375771	SiTVs
GCF_000755825.1_ASM75582v1_genomic.fna	68.08719785	SiTVs
GCF_000783735.2_ASM78373v2_genomic.fna	50.64624216	SiTVs
GCF_000783735.2_ASM78373v2_genomic.fna	50.64624216	SiTVs
GCF_000725305.1_ASM72530v1_genomic.fna	50.74945772	SiTVs
