host	size	type
GCF_000023365.1_ASM2336v1_genomic.fna	4.630707	SiTVs
GCF_000023025.1_ASM2302v1_genomic.fna	5.193164	SiTVs
GCF_000023565.1_ASM2356v1_genomic.fna	4.813854	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	5.132068	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	5.132068	SiTVs
GCF_000026305.1_ASM2630v1_genomic.fna	5.209548	SiTVs
GCF_000021045.1_ASM2104v1_genomic.fna	5.365318	SiTVs
GCF_000018765.1_ASM1876v1_genomic.fna	5.547544	SiTVs
GCF_000022165.1_ASM2216v1_genomic.fna	4.964097	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	7.040403	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	7.040403	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	4.629812	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	4.629812	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	4.629812	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	4.570938	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	4.570938	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	4.935125	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	4.935125	SiTVs
GCF_000020125.1_ASM2012v1_genomic.fna	8.214658	SiTVs
GCF_000026545.1_ASM2654v1_genomic.fna	5.069678	SiTVs
GCF_000012025.1_ASM1202v1_genomic.fna	4.64652	SiTVs
GCF_000026265.1_ASM2626v1_genomic.fna	4.70056	SiTVs
GCF_000007805.1_ASM780v1_genomic.fna	6.53826	SiTVs
GCF_000009345.1_ASM934v1_genomic.fna	4.68362	SiTVs
GCF_000016345.1_ASM1634v1_genomic.fna	2.15949	SiTVs
GCF_000006945.2_ASM694v2_genomic.fna	4.951383	SiTVs
GCF_000025165.1_ASM2516v1_genomic.fna	5.452353	SiTVs
GCF_000006745.1_ASM674v1_genomic.fna	4.033464	SiTVs
GCF_000021665.1_ASM2166v1_genomic.fna	5.358884	SiTVs
GCF_000022225.1_ASM2222v1_genomic.fna	5.622737	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	4.643861	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	4.643861	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	4.643861	SiTVs
GCF_000020185.1_ASM2018v1_genomic.fna	4.874659	SiTVs
GCF_000020185.1_ASM2018v1_genomic.fna	4.874659	SiTVs
GCF_000009565.1_ASM956v1_genomic.fna	4.558947	SiTVs
GCF_000009565.1_ASM956v1_genomic.fna	4.558947	SiTVs
GCF_000152285.1_ASM15228v1_genomic.fna	6.35434	SiTVs
GCF_000152285.1_ASM15228v1_genomic.fna	6.35434	SiTVs
GCF_000013585.1_ASM1358v1_genomic.fna	4.574284	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	4.292502	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	4.292502	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	4.292502	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	4.292502	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	4.292502	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	4.292502	SiTVs
GCF_000210855.2_ASM21085v2_genomic.fna	5.06745	SiTVs
GCF_000210855.2_ASM21085v2_genomic.fna	5.06745	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	2.378127	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	2.378127	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	2.378127	SiTVs
GCF_000281895.1_ASM28189v1_genomic.fna	6.368168	SiTVs
GCF_000188735.1_ASM18873v1_genomic.fna	5.067451	SiTVs
GCF_000188735.1_ASM18873v1_genomic.fna	5.067451	SiTVs
GCF_000283715.1_ASM28371v1_genomic.fna	5.220473	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	2.407578	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	2.407578	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	2.407578	SiTVs
GCF_000240905.2_ASM24090v3_genomic.fna	4.678025	SiTVs
GCF_000225565.1_ASM22556v1_genomic.fna	4.943773	SiTVs
GCF_000225565.1_ASM22556v1_genomic.fna	4.943773	SiTVs
GCF_000252875.1_ASM25287v1_genomic.fna	4.970096	SiTVs
GCF_000252875.1_ASM25287v1_genomic.fna	4.970096	SiTVs
GCF_000310085.1_ASM31008v1_genomic.fna	4.947126	SiTVs
GCF_000271985.2_ASM27198v2_genomic.fna	6.243825	SiTVs
GCF_000299475.1_ASM29947v1_genomic.fna	5.389708	SiTVs
GCF_000299475.1_ASM29947v1_genomic.fna	5.389708	SiTVs
GCF_000336425.1_ASM33642v1_genomic.fna	5.244703	SiTVs
GCF_000282175.2_ASM28217v2_genomic.fna	6.866808	SiTVs
GCF_000166535.2_ASM16653v3_genomic.fna	5.094491	SiTVs
GCF_000223945.1_ASM22394v2_genomic.fna	6.742964	SiTVs
GCF_000198775.1_ASM19877v1_genomic.fna	3.750138	SiTVs
GCF_000198775.1_ASM19877v1_genomic.fna	3.750138	SiTVs
GCF_000269645.1_PB_Esch_coli_MG12655_V1_genomic.fna	4.63897	SiTVs
GCF_000269645.1_PB_Esch_coli_MG12655_V1_genomic.fna	4.63897	SiTVs
GCF_000210475.1_ASM21047v1_genomic.fna	5.325888	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	5.635305	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	5.635305	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	5.635305	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	5.635305	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	5.635305	SiTVs
GCF_000241385.1_ASM24138v1_genomic.fna	5.452646	SiTVs
GCF_000310105.2_ASM31010v2_genomic.fna	4.830226	SiTVs
GCF_000238455.2_ASM23845v3_genomic.fna	4.768632	SiTVs
GCF_000194805.1_ASM19480v1_genomic.fna	6.843248	SiTVs
GCF_000214195.1_ASM21419v1_genomic.fna	5.443009	SiTVs
GCF_000250855.1_ASM25085v1_genomic.fna	4.079586	SiTVs
GCF_000219915.2_ASM21991v3_genomic.fna	4.423879	SiTVs
GCF_000214235.1_ASM21423v1_genomic.fna	5.44288	SiTVs
GCF_000331385.1_PSSB64v1.0_genomic.fna	5.930035	SiTVs
GCF_000263715.2_ASM26371v2_genomic.fna	6.297495	SiTVs
GCF_000314895.2_ASM31489v2_genomic.fna	3.896123	SiTVs
GCF_000273425.1_Esch_coli_MG12655_V1_genomic.fna	4.63897	SiTVs
GCF_000273425.1_Esch_coli_MG12655_V1_genomic.fna	4.63897	SiTVs
GCF_000187705.1_ASM18770v1_genomic.fna	5.614252	SiTVs
GCF_000187705.1_ASM18770v1_genomic.fna	5.614252	SiTVs
GCF_000223965.1_ASM22396v2_genomic.fna	6.719211	SiTVs
GCF_000214805.1_ASM21480v1_genomic.fna	5.442549	SiTVs
GCF_000194745.1_ASM19474v1_genomic.fna	9.052299	SiTVs
GCF_000194745.1_ASM19474v1_genomic.fna	9.052299	SiTVs
GCF_000224675.1_ASM22467v1_genomic.fna	5.012132	SiTVs
GCF_000284495.1_ASM28449v1_genomic.fna	4.773108	SiTVs
GCF_000252955.1_ASM25295v1_genomic.fna	4.587917	SiTVs
GCF_000226155.1_ASM22615v1_genomic.fna	6.327754	SiTVs
GCF_000272715.4_ASM27271v4_genomic.fna	4.978519	SiTVs
GCF_000272715.4_ASM27271v4_genomic.fna	4.978519	SiTVs
GCF_000272815.2_ASM27281v2_genomic.fna	4.755838	SiTVs
GCF_000325725.1_ASM32572v1_genomic.fna	5.95611	SiTVs
GCF_000184185.1_ASM18418v1_genomic.fna	5.008864	SiTVs
GCF_000186585.1_ASM18658v1_genomic.fna	5.007768	SiTVs
GCF_000186585.1_ASM18658v1_genomic.fna	5.007768	SiTVs
GCF_000213635.1_ASM21363v1_genomic.fna	4.911145	SiTVs
GCF_000182585.2_ASM18258v2_genomic.fna	7.348945	SiTVs
GCF_000191665.1_ecmda7_genomic.fna	4.866106	SiTVs
GCF_000270105.1_ASM27010v1_genomic.fna	4.62143	SiTVs
GCF_000270105.1_ASM27010v1_genomic.fna	4.62143	SiTVs
GCF_000168335.1_ASM16833v1_genomic.fna	6.492423	SiTVs
GCF_000285655.3_EC958.v1_genomic.fna	5.249449	SiTVs
GCF_000275645.1_ASM27564v1_genomic.fna	4.08902	SiTVs
GCF_000342305.2_vvyb1_bt3.5_genomic.fna	5.745612	SiTVs
GCF_000342305.2_vvyb1_bt3.5_genomic.fna	5.745612	SiTVs
GCF_000260515.1_ASM26051v1_genomic.fna	7.231415	SiTVs
GCF_000193455.1_ASM19345v1_genomic.fna	7.336077	SiTVs
GCF_000272895.2_ASM27289v3_genomic.fna	5.121199	SiTVs
GCF_000272895.2_ASM27289v3_genomic.fna	5.121199	SiTVs
GCF_000196095.1_ASM19609v1_genomic.fna	5.16577	SiTVs
GCF_000196095.1_ASM19609v1_genomic.fna	5.16577	SiTVs
GCF_000272755.4_ASM27275v4_genomic.fna	4.87594	SiTVs
GCF_000272755.4_ASM27275v4_genomic.fna	4.87594	SiTVs
GCF_000166455.1_ASM16645v2_genomic.fna	4.07774	SiTVs
GCF_000258025.1_ASM25802v1_genomic.fna	5.027172	SiTVs
GCF_000262695.1_ASM26269v1_genomic.fna	6.629912	SiTVs
GCF_000230875.1_Salmonella_enterica_SARB27-2.0_genomic.fna	4.881575	SiTVs
GCF_000187565.1_ASM18756v1_genomic.fna	4.789937	SiTVs
GCF_000252995.1_ASM25299v1_genomic.fna	4.460105	SiTVs
GCF_000267545.1_ASM26754v1_genomic.fna	4.709064	SiTVs
GCF_000267545.1_ASM26754v1_genomic.fna	4.709064	SiTVs
GCF_000341425.1_ASM34142v1_genomic.fna	4.675267	SiTVs
GCF_000284555.1_ASM28455v1_genomic.fna	6.764661	SiTVs
GCF_000284555.1_ASM28455v1_genomic.fna	6.764661	SiTVs
GCF_000195995.1_ASM19599v1_genomic.fna	5.133713	SiTVs
GCF_000272775.4_ASM27277v4_genomic.fna	4.991133	SiTVs
GCF_000272775.4_ASM27277v4_genomic.fna	4.991133	SiTVs
GCF_000253175.1_ASM25317v1_genomic.fna	4.62588	SiTVs
GCF_000253175.1_ASM25317v1_genomic.fna	4.62588	SiTVs
GCF_000272735.4_ASM27273v4_genomic.fna	4.951115	SiTVs
GCF_000272735.4_ASM27273v4_genomic.fna	4.951115	SiTVs
GCF_000258145.1_ASM25814v1_genomic.fna	5.005347	SiTVs
GCF_000286275.1_ASM28627v1_genomic.fna	4.726582	SiTVs
GCF_000338075.1_G4222_chroI_and_II_genomic.fna	4.202811	SiTVs
GCF_000227625.1_ASM22762v1_genomic.fna	5.378729	SiTVs
GCF_000227625.1_ASM22762v1_genomic.fna	5.378729	SiTVs
GCF_000227625.1_ASM22762v1_genomic.fna	5.378729	SiTVs
GCF_000299455.1_ASM29945v1_genomic.fna	5.437407	SiTVs
GCF_000299255.1_ASM29925v1_genomic.fna	5.438174	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	5.666764	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	5.666764	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	5.666764	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	5.666764	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	5.666764	SiTVs
GCF_000245535.1_ASM24553v1_genomic.fna	4.949783	SiTVs
GCF_000406205.1_DXX3274_1.0_genomic.fna	5.115016	SiTVs
GCF_000487935.2_ASM48793v2_genomic.fna	5.102976	SiTVs
GCF_000567925.1_ASM56792v1_genomic.fna	6.577133	SiTVs
GCF_000567925.1_ASM56792v1_genomic.fna	6.577133	SiTVs
GCF_000567925.1_ASM56792v1_genomic.fna	6.577133	SiTVs
GCF_000511285.2_ASM51128v2_genomic.fna	4.922468	SiTVs
GCF_000511895.1_ASM51189v1_genomic.fna	7.391364	SiTVs
GCF_000430405.1_ASM43040v1_genomic.fna	5.223562	SiTVs
GCF_000430405.1_ASM43040v1_genomic.fna	5.223562	SiTVs
GCF_000597945.1_ASM59794v2_genomic.fna	4.850874	SiTVs
GCF_000410515.1_ASM41051v1_genomic.fna	5.155034	SiTVs
GCF_000468515.1_ASM46851v1_genomic.fna	4.835601	SiTVs
GCF_000493535.2_DT2_genomic.fna	4.908645	SiTVs
GCF_000504545.1_ASM50454v1_genomic.fna	4.559945	SiTVs
GCF_000452445.2_ASM45244v3_genomic.fna	6.039562	SiTVs
GCF_000583835.1_ASM58383v1_genomic.fna	7.450511	SiTVs
GCF_000583835.1_ASM58383v1_genomic.fna	7.450511	SiTVs
GCF_000499485.1_MYMC4100_genomic.fna	4.527247	SiTVs
GCF_000486915.2_ASM48691v2_genomic.fna	4.905181	SiTVs
GCF_000487215.2_ASM48721v2_genomic.fna	4.750116	SiTVs
GCF_000487215.2_ASM48721v2_genomic.fna	4.750116	SiTVs
GCF_000385905.1_ASM38590v1_genomic.fna	4.791958	SiTVs
GCF_000511325.1_ASM51132v1_genomic.fna	5.891312	SiTVs
GCF_000439575.1_ASM43957v1_genomic.fna	4.93166	SiTVs
GCF_000599665.1_ASM59966v1_genomic.fna	5.054509	SiTVs
GCF_000439695.1_ASM43969v1_genomic.fna	7.428072	SiTVs
GCF_000439695.1_ASM43969v1_genomic.fna	7.428072	SiTVs
GCF_000452585.2_ASM45258v3_genomic.fna	5.979293	SiTVs
GCF_000439415.2_ASM43941v2_genomic.fna	4.806605	SiTVs
GCF_000439415.2_ASM43941v2_genomic.fna	4.806605	SiTVs
GCF_000520035.1_ASM52003v1_genomic.fna	5.737294	SiTVs
GCF_000520035.1_ASM52003v1_genomic.fna	5.737294	SiTVs
GCF_000494915.1_ASM49491v1_genomic.fna	5.966222	SiTVs
GCF_000452525.3_ASM45252v4_genomic.fna	6.112257	SiTVs
GCF_000439255.1_ASM43925v1_genomic.fna	4.773537	SiTVs
GCF_000498395.2_ASM49839v3_genomic.fna	6.621848	SiTVs
GCF_000354175.2_ASM35417v2_genomic.fna	5.146637	SiTVs
GCF_000430145.2_ASM43014v3_genomic.fna	5.089224	SiTVs
GCF_000512395.1_ASM51239v1_genomic.fna	2.307684	SiTVs
GCF_000510305.1_ASM51030v1_genomic.fna	6.725183	SiTVs
GCF_000510305.1_ASM51030v1_genomic.fna	6.725183	SiTVs
GCF_000406185.1_DDA2976_1.0_genomic.fna	4.817532	SiTVs
GCF_000406185.1_DDA2976_1.0_genomic.fna	4.817532	SiTVs
GCF_000380365.1_ASM38036v1_genomic.fna	5.32321	SiTVs
GCF_000406105.1_DCH402_1.0_genomic.fna	4.700353	SiTVs
GCF_000503845.1_ASM50384v1_genomic.fna	4.76284	SiTVs
GCF_000473275.1_ASM47327v1_genomic.fna	4.707648	SiTVs
GCF_000412165.1_PSSSMv1.0_genomic.fna	6.124102	SiTVs
GCF_000597845.1_ASM59784v1_genomic.fna	4.758629	SiTVs
GCF_000486365.2_ASM48636v2_genomic.fna	4.69043	SiTVs
GCF_000486365.2_ASM48636v2_genomic.fna	4.69043	SiTVs
GCF_000599685.1_ASM59968v1_genomic.fna	4.99891	SiTVs
GCF_000494855.1_ASM49485v1_genomic.fna	7.337157	SiTVs
GCF_000494855.1_ASM49485v1_genomic.fna	7.337157	SiTVs
GCF_000365305.1_DDI453_v1.0_genomic.fna	4.67606	SiTVs
GCF_000618005.3_ASM61800v3_genomic.fna	4.882073	SiTVs
GCF_000487015.2_ASM48701v2_genomic.fna	4.756014	SiTVs
GCF_000380335.1_ASM38033v1_genomic.fna	5.36637	SiTVs
GCF_000430165.1_ASM43016v1_genomic.fna	4.822189	SiTVs
GCF_000464435.1_ASM46443v1_genomic.fna	6.031829	SiTVs
GCF_000486345.2_ASM48634v2_genomic.fna	4.913633	SiTVs
GCF_000567905.1_ASM56790v1_genomic.fna	6.768375	SiTVs
GCF_000568495.1_ASM56849v1_genomic.fna	5.232572	SiTVs
GCF_000417225.2_ASM41722v2_genomic.fna	5.710688	SiTVs
GCF_000400525.1_DZE3532_1.0_genomic.fna	4.557062	SiTVs
GCF_000400525.1_DZE3532_1.0_genomic.fna	4.557062	SiTVs
GCF_000348565.1_ASM34856v1_genomic.fna	3.85704	SiTVs
GCF_000442415.1_ASM44241v1_genomic.fna	4.91596	SiTVs
GCF_000442415.1_ASM44241v1_genomic.fna	4.91596	SiTVs
GCF_000487035.2_ASM48703v2_genomic.fna	4.97282	SiTVs
GCF_000487035.2_ASM48703v2_genomic.fna	4.97282	SiTVs
GCF_000406265.1_DDA3537_1.0_genomic.fna	4.808448	SiTVs
GCF_000689415.1_PKB13_genomic.fna	6.162905	SiTVs
GCF_000689415.1_PKB13_genomic.fna	6.162905	SiTVs
GCF_000770395.1_ASM77039v1_genomic.fna	7.225433	SiTVs
GCF_000770155.1_ASM77015v1_genomic.fna	4.848754	SiTVs
GCF_000763555.1_ASM76355v1_genomic.fna	7.3042	SiTVs
GCF_000743995.1_ASM74399v1_genomic.fna	4.620903	SiTVs
GCF_000786425.1_Vibrio_anguillarum_NB10_serovar_O1_genomic.fna	4.373835	SiTVs
GCF_000730345.1_ASM73034v1_genomic.fna	5.655941	SiTVs
GCF_000770535.1_ASM77053v1_genomic.fna	7.272441	SiTVs
GCF_000807425.2_ASM80742v4_genomic.fna	5.303516	SiTVs
GCF_000829415.1_ASM82941v1_genomic.fna	6.332373	SiTVs
GCF_000770455.1_ASM77045v1_genomic.fna	7.264759	SiTVs
GCF_000750555.1_ASM75055v1_genomic.fna	4.631469	SiTVs
GCF_000750555.1_ASM75055v1_genomic.fna	4.631469	SiTVs
GCF_000698265.1_ASM69826v1_genomic.fna	6.169071	SiTVs
GCF_000800765.1_ASM80076v1_genomic.fna	4.55866	SiTVs
GCF_000750225.1_ASM75022v1_genomic.fna	5.061388	SiTVs
GCF_000757015.2_ASM75701v2_genomic.fna	7.202363	SiTVs
GCF_000757015.2_ASM75701v2_genomic.fna	7.202363	SiTVs
GCF_000770565.1_ASM77056v1_genomic.fna	7.814142	SiTVs
GCF_000770565.1_ASM77056v1_genomic.fna	7.814142	SiTVs
GCF_000770565.1_ASM77056v1_genomic.fna	7.814142	SiTVs
GCF_000671295.1_ASM67129v1_genomic.fna	5.737293	SiTVs
GCF_000671295.1_ASM67129v1_genomic.fna	5.737293	SiTVs
GCF_000750905.1_PSE305_genomic.fna	6.762448	SiTVs
GCF_000750905.1_PSE305_genomic.fna	6.762448	SiTVs
GCF_000813165.1_ASM81316v1_genomic.fna	5.126057	SiTVs
GCF_000829215.1_ASM82921v1_genomic.fna	4.030944	SiTVs
GCF_000807405.2_ASM80740v4_genomic.fna	5.160986	SiTVs
GCF_000807405.2_ASM80740v4_genomic.fna	5.160986	SiTVs
GCF_000756085.1_ASM75608v1_genomic.fna	7.231385	SiTVs
GCF_000764595.1_ASM76459v1_genomic.fna	6.7395	SiTVs
GCF_000764595.1_ASM76459v1_genomic.fna	6.7395	SiTVs
GCF_000764595.1_ASM76459v1_genomic.fna	6.7395	SiTVs
GCF_000750315.1_ASM75031v1_genomic.fna	4.806594	SiTVs
GCF_000784925.1_ASM78492v1_genomic.fna	5.559642	SiTVs
GCF_000732965.1_ASM73296v1_genomic.fna	5.639399	SiTVs
GCF_000814845.2_ASM81484v2_genomic.fna	5.742997	SiTVs
GCF_000764575.1_ASM76457v1_genomic.fna	7.204083	SiTVs
GCF_000756165.1_ASM75616v1_genomic.fna	7.02795	SiTVs
GCF_000698715.2_ASM69871v2_genomic.fna	4.727567	SiTVs
GCF_000829985.1_ASM82998v1_genomic.fna	5.156928	SiTVs
GCF_000829985.1_ASM82998v1_genomic.fna	5.156928	SiTVs
GCF_000829985.1_ASM82998v1_genomic.fna	5.156928	SiTVs
GCF_000724525.1_ASM72452v1_genomic.fna	6.311385	SiTVs
GCF_000698295.1_ASM69829v1_genomic.fna	6.085054	SiTVs
GCF_000742815.1_ASM74281v1_genomic.fna	4.751585	SiTVs
GCF_000783955.2_ASM78395v2_genomic.fna	4.000026	SiTVs
GCF_000783955.2_ASM78395v2_genomic.fna	4.000026	SiTVs
GCF_000750355.1_ASM75035v1_genomic.fna	4.444328	SiTVs
GCF_000770495.1_ASM77049v1_genomic.fna	7.337621	SiTVs
GCF_000770495.1_ASM77049v1_genomic.fna	7.337621	SiTVs
GCF_000808035.2_ASM80803v2_genomic.fna	6.729116	SiTVs
GCF_000808035.2_ASM80803v2_genomic.fna	6.729116	SiTVs
GCF_000698515.2_ASM69851v2_genomic.fna	4.808497	SiTVs
GCF_000698515.2_ASM69851v2_genomic.fna	4.808497	SiTVs
GCF_000755985.1_ASM75598v1_genomic.fna	7.313673	SiTVs
GCF_000755985.1_ASM75598v1_genomic.fna	7.313673	SiTVs
GCF_000833145.1_ASM83314v1_genomic.fna	4.528118	SiTVs
GCF_000833145.1_ASM83314v1_genomic.fna	4.528118	SiTVs
GCF_000833145.1_ASM83314v1_genomic.fna	4.528118	SiTVs
GCF_000757035.2_ASM75703v2_genomic.fna	7.325318	SiTVs
GCF_000807415.2_ASM80741v4_genomic.fna	5.276896	SiTVs
GCF_000765435.1_ASM76543v1_genomic.fna	5.254632	SiTVs
GCF_000814145.2_ASM81414v2_genomic.fna	5.106503	SiTVs
GCF_000828775.1_ASM82877v1_genomic.fna	5.326023	SiTVs
GCF_000828775.1_ASM82877v1_genomic.fna	5.326023	SiTVs
GCF_000828775.1_ASM82877v1_genomic.fna	5.326023	SiTVs
GCF_000765375.1_ASM76537v1_genomic.fna	6.67673	SiTVs
GCF_000765375.1_ASM76537v1_genomic.fna	6.67673	SiTVs
GCF_000743255.1_ASM74325v1_genomic.fna	5.20344	SiTVs
GCF_000756005.1_ASM75600v1_genomic.fna	7.281867	SiTVs
GCF_000801205.1_ASM80120v1_genomic.fna	4.636831	SiTVs
GCF_000801205.1_ASM80120v1_genomic.fna	4.636831	SiTVs
GCF_000830035.1_ASM83003v1_genomic.fna	4.557511	SiTVs
GCF_000830035.1_ASM83003v1_genomic.fna	4.557511	SiTVs
GCF_000756065.1_ASM75606v1_genomic.fna	7.297804	SiTVs
GCF_000819645.1_ASM81964v1_genomic.fna	5.273074	SiTVs
GCF_000800215.1_ASM80021v1_genomic.fna	4.558663	SiTVs
GCF_000734975.2_ASM73497v2_genomic.fna	5.16836	SiTVs
GCF_000756775.1_PRJEB6478_assembly_1_genomic.fna	3.673759	SiTVs
GCF_000755825.1_ASM75582v1_genomic.fna	7.272702	SiTVs
GCF_000783735.2_ASM78373v2_genomic.fna	4.805861	SiTVs
GCF_000783735.2_ASM78373v2_genomic.fna	4.805861	SiTVs
GCF_000725305.1_ASM72530v1_genomic.fna	4.718545	SiTVs
GCF_000765415.1_ASM76541v1_genomic.fna	4.258023	SiTVs
GCF_000755925.1_ASM75592v1_genomic.fna	7.218403	SiTVs
GCF_000803705.1_ASM80370v1_genomic.fna	5.58343	SiTVs
GCF_000801165.1_ASM80116v1_genomic.fna	4.995948	SiTVs
GCF_000801165.1_ASM80116v1_genomic.fna	4.995948	SiTVs
GCF_000705535.2_ASM70553v2_genomic.fna	8.022336	SiTVs
GCF_000750275.1_ASM75027v1_genomic.fna	4.959888	SiTVs
GCF_000821185.2_ASM82118v2_genomic.fna	3.550913	SiTVs
GCF_000821185.2_ASM82118v2_genomic.fna	3.550913	SiTVs
GCF_000821185.2_ASM82118v2_genomic.fna	3.550913	SiTVs
