genus	family	reason	num
g__Pectobacterium	f__Enterobacteriaceae	unqualified prophage	4
g__Pectobacterium	f__Enterobacteriaceae	no lexa	0
g__Pectobacterium	f__Enterobacteriaceae	no box	0
g__Pectobacterium	f__Enterobacteriaceae	fail	7
g__Pectobacterium	f__Enterobacteriaceae	keep	77
g__Dickeya	f__Enterobacteriaceae	no prophage	14
g__Dickeya	f__Enterobacteriaceae	unqualified prophage	6
g__Dickeya	f__Enterobacteriaceae	no lexa	0
g__Dickeya	f__Enterobacteriaceae	no box	0
g__Dickeya	f__Enterobacteriaceae	fail	0
g__Dickeya	f__Enterobacteriaceae	keep	77
